股票名,股票代码,所属行业,题材关键词,公司信息,主营构成,总市值,市盈率估值,市净率估值," 市销率估值",市现率估值,综合估值状态,最新一期 ROE,价格,估算合理价格,当前价格是否合理,合理价格与当时价的价格差,预约财报披露日期,历史波动率,净利润增长率 (%),营收增长率 (%),最新负债率 (%),最新股息率 (%),净利润 3 年复合增长率 (%),营收 3 年复合增长率 (%),上市以来年化收益率 (%),预测净利润同比增长 (%),预测营收同比增长 (%),机构评级,每股收益预测
陕西煤业,601225.SH,煤炭,煤炭行业、资源储备优势明显、新技术、新成果应用效果显著、传统产业与新兴产业并驾齐驱、拟不超50亿元回购股份,"公司简介:
    陕西煤业股份有限公司(以下简称“陕西煤业”或“公司”)是陕西煤业化工集团公司以煤炭主业资产出资,联合三峡集团、华能开发、陕西有色、陕鼓集团于2008年12月23日共同发起设立的股份有限公司。2014年元月28日,陕西煤业在上海证券交易所挂牌上市,股票代码601225,发行股票10亿股,募集资金40亿元。发行完成后,公司总股本为100亿元。公司控股股东为陕西煤业化工集团公司,实际控制人为陕西省国资委。
    公司具有较强的资源优势、产品优势、区位优势、政策优势和专业化管理优势。截止2017年末,公司拥有煤炭地质储量164.33亿吨,可采储量102.69亿吨,90%以上的煤炭储量属于优质煤,90%以上的煤炭资源位于陕北、黄陇等优质煤产区。 公司主营业务为煤炭开采、洗选、加工、销售以及生产服务等,主要产品为煤炭,具有低灰、低硫、低磷、高发热量等特点,是优质的动力、化工及冶金用煤。公司现有“黄灵牌”、“黄灵一号”、“玉华牌”、 “红柳林牌”等多个品牌,多次被陕西省评为“信得过产品”、“优质煤炭产品”。 近年来,公司以经济效益为中心,科学统筹内外部发展要素,挖掘公司潜力,严控成本费用,提升内部管理,调整优化结构,深化内部改革,坚定不移地走安全发展、绿色发展之路。2017年,公司完成原煤产量10097万吨,煤炭销量12338万吨;实现营业收入509.27亿元,归属于上市公司股东的净利润104.49亿元,每股收益1.04元/股。截至2017年12月31日,公司总资产1054.07亿元,所有者权益585.70亿元,在职员工2.8万人。
    公司将按照统筹规划、科学布局、集约开发、绿色开采、高效转化、清洁利用的煤炭发展方针,坚持调整存量、做优增量,坚持提质增效、集约发展,坚持深化改革、创新驱动,坚持绿色开发、清洁利用的原则,以生产为依托,以用户为中心,以大物流体系为平台,坚持共赢发展,建立煤炭全价值链协同体系。充分发挥好陕西区位和煤炭产业竞争优势,优化煤炭产业竞争力结构,努力使公司成为国际一流能源企业。
主营业务:
    煤炭生产、销售和运输等业务,并拥有完整的煤炭生产、销售和运输体系。
所属概念:
    HS300_,融资融券,上证180_,沪股通,证金持股,MSCI中国,富时罗素,标准普尔","按行业:
暂无数据
按产品:
    销售与运输: 96.20%
    神府矿区: 21.72%
    黄陵矿区: 11.25%
    其他: -29.17%
按地区:
暂无数据",1144.00 亿,估值中等,估值中等,估值较低,估值中等,估值较低,21.79,11.44,--,--,--,2021-04-30,0.4404656103730429,26.368093227774,26.2937139045,38.30064067,3.146853146853,61.6809075347,30.3639070483,19.0109,20.1756913795,24.4659997412,"3月内:买入
6月内:买入
1年内:买入","2020 | 预测每股收益:1.399333 预测市盈率:8.175789
2021 | 预测每股收益:1.351333 预测市盈率:8.490654
2022 | 预测每股收益:1.400000 预测市盈率:8.188102"
国联股份,603613.SH,互联网商务,互联网和相关服务、线上线下协同优势、价值交互协同优势、独特组织架构优势、自愿锁定股份、股利分配、稳定股价措施,"公司简介:
    北京国联视讯信息技术股份有限公司是国内较早采用垂直行业集群模式的第三方B2B电子商务平台运营服务公司,公司目前经营以下五种业务:即会员服务、会展服务、行业资讯服务、代理业务以及金融服务业务.公司自成立以来,通过自有渠道和与行业协会、行业研究学会等合作的方式发展会员,目前国联资源网电子商务平台现已成为业内在专业数据、客户数量、访问量、注册收费会员率等方面具有较强影响力的的电子商务平台。
主营业务:
    公司以B2B电子商务业务为主。公司定位于B2B综合服务平台,以工业电子商务为基础,以互联网数据为支撑,为相关行业客户提供工业品和原材料的网上商品交易、商业信息服务和互联网技术服务。
所属概念:
    物联网,预盈预增,大数据,电商概念,上证380,沪股通,人工智能,MSCI中国,工业互联,富时罗素","按行业:
    涂料化工行业: 68.18%
    卫生用品行业: 12.96%
    玻璃行业: 8.95%
    其他: 9.90%
按产品:
    网上商品交易: 99.40%
    商业信息服务: 0.48%
    互联网技术服务: 0.12%
    其他(补充): 0.00%
按地区:
    华东: 41.87%
    华中: 20.10%
    华南: 19.60%
    其他: 18.43%",335.65 亿,估值较高,估值较低,估值中等,估值中等,估值中等,21.38,141.52,--,--,--,2021-04-28,0.6215403939762237,91.568285717817,138.3793520654,41.8486520272,0.093273035613,73.0592300452,104.719927985,368.9131,62.486020244,84.9288746316,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:2.086364 预测市盈率:67.842794
2022 | 预测每股收益:3.322727 预测市盈率:42.593576
2023 | 预测每股收益:5.406250 预测市盈率:26.180518"
老凤祥,600612.SH,珠宝首饰,黄金珠宝行业、品牌优势、渠道优势、规模优势,"公司简介:
    老凤祥股份有限公司创始于公元1848年的老字号民族品牌老凤祥,集科工贸于一身、产供销于一体,拥有完整的产业链、多元化的产品线,是国内文化底蕴深厚的跨越三个世界的品牌,是中国珠宝首饰业民族工业的一面旗帜和优秀企业的代表。旗下的研究所、博物馆、专业工厂和遍布全国的3000多家银楼专卖店以及典当行、拍卖行等,构成了老凤祥大规模的产业体系,其品牌产品达到了珠宝首饰的全品类,并向旅游纪念品、工艺品、钟表和眼镜的相关产业和跨界产品延伸扩展。
主营业务:
    黄金首饰、铅笔制造、铅笔机械、化工原料、制笔零件等。
所属概念:
    AB股,参股券商,参股银行,黄金概念,机构重仓,长江三角,融资融券,沪企改革,国企改革,上证380,沪股通,养老金,富时罗素,标准普尔","按行业:
暂无数据
按产品:
    珠宝首饰: 67.77%
    黄金交易: 30.55%
    其他(补充): 0.76%
    其他: 0.92%
按地区:
    境内地区: 98.69%
    其他(补充): 0.76%
    境外地区: 0.55%",300.06 亿,估值较低,估值中等,估值中等,估值中等,估值较低,21.03,57.36,--,--,--,2021-04-28,0.4935390098785291,5.732887111865,4.1249755363,53.2083644145,2.004881450488,10.0129197076,12.3840653214,19.2278,8.4178355795,5.4118771184,"3月内:买入
6月内:买入
1年内:买入","2020 | 预测每股收益:2.917333 预测市盈率:14.507568
2021 | 预测每股收益:3.430000 预测市盈率:12.347460
2022 | 预测每股收益:3.862667 预测市盈率:10.960692"
中炬高新,600872.SH,食品,调味食品行业、调味食品行业领先优势、房地产业务的区位优势、园区建设管理的成熟经验、稀土概念、拟3.4亿元收购厨邦公司20%股权实现全控、实控人变更为姚振华、火炬开发区管委会认定公司不再由其实际控制,"公司简介:
    中炬高新技术实业(集团)股份有限公司于1993年应运而生,并于1995年率先在全国53个国家级高新区中上市,其发展受到了各级政府及社会各界的广泛关注。  二十五年来,中炬高新凭借珠三角地区突出的区位优势,集中了中山火炬开发区的优质资源,求实以固本,创新以发展,在高新技术产业投资、国家级开发区招商两大领域取得了持续和稳健的发展。成功开发的中炬高新产业园和中炬汽配工业园,形成了电子信息、健康食品、汽车配件等多个产业链。截至2017年12月,公司管理的工业园区落户企业近百家,2017年实现工业总产值279.36亿元,利税47.04亿元。  中炬高新以宝能集团和国家级高新区为依托,致力于资产经营和资本经营,投资范围涉及高新产业园区开发、健康食品业、房地产业、汽车配件业等领域。截至2017年12月,公司总股本7.97亿元,总资产53.05亿元,净资产34.5亿元,归属母公司净资产31.41亿元。
主营业务:
    调味食品,园区综合开发管理等
所属概念:
    HS300_,参股银行,融资融券,上证180_,沪股通,MSCI中国,富时罗素,标准普尔","按行业:
    制造业: 97.23%
    园区及房地产开发运营: 1.71%
    其他(补充): 1.07%
按产品:
    调味品: 96.23%
    园区及房地产开发运营: 1.71%
    其他(补充): 1.07%
    皮带轮及汽车、摩托车配件: 1.00%
按地区:
    南部区域: 41.98%
    东部区域: 21.53%
    中西部区域: 20.27%
    其他: 16.22%",406.21 亿,估值中等,估值较高,估值较高,估值中等,估值中等,20.96,50.99,--,--,--,2021-04-28,0.4549017417494112,23.955733330408,9.5945519148,25.0383470044,1.333594822514,25.2185612327,12.3849543066,16.942,13.445113352,19.2048197957,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.265286 预测市盈率:40.234919
2022 | 预测每股收益:1.540343 预测市盈率:33.104010
2023 | 预测每股收益:1.849156 预测市盈率:27.569067"
索菲亚,002572.SZ,家具,定制家具行业、品牌力不断攀升、积极进取的全渠道营销体系、产品力、公司经销商持股计划完成股票购买,"公司简介:
    索菲亚家居股份有限公司是一家主要经营定制衣柜及全屋配套定制家具的研发、生产和销售的公司。公司于2003年开始生产、销售“索菲亚”品牌定制衣柜以来,凭借量身定做的定制衣柜和壁柜门相结合的崭新产品概念,成功把定制衣柜推向市场并获得中国消费者的认同。公司于2011年在深交所成功上市,是行业内A股上市公司(股票代码:002572)。
主营业务:
    定制衣柜及其配套定制家具的研发、生产和销售。
所属概念:
    参股券商,深成500,融资融券,电商概念,中证500,证金持股,虚拟现实,深股通,富时罗素,标准普尔","按行业:
    家具制造业: 99.57%
    其他(补充): 0.43%
按产品:
    衣柜及其配套产品: 80.23%
    橱柜及其配件: 14.50%
    木门: 3.49%
    其他: 1.78%
按地区:
    华南: 28.95%
    华东: 21.96%
    华北: 18.86%
    其他: 30.23%",281.01 亿,估值较低,估值中等,估值较低,估值中等,估值较低,20.92,30.8,--,--,--,2021-04-29,0.4150076126024864,10.656442320683,8.6748484786,39.0659190263,1.948051948052,9.5526838384,10.6752256975,21.2892,17.2984853374,20.0259058841,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.532308 预测市盈率:20.093829
2022 | 预测每股收益:1.788846 预测市盈率:17.216148
2023 | 预测每股收益:2.104762 预测市盈率:14.633174"
永高股份,002641.SZ,其他建材,塑胶制品行业、品牌优势、规模优势、4000港币出让子公司4成股权,"公司简介:
    永高股份有限公司创建于1993年,产业涉及塑料管道、光伏太阳能、家用电器开关插座智能装备和贸易等多个领域。系中国塑料加工工业协会塑料管道专业委员会理事长单位,公元集团巨大的核心子公司,下辖上海公元建材发展有限公司、深圳永高塑业发展有限公司、广东永高塑业发展有限公司、安徽永高塑业发展有限公司、天津永高塑业发展有限公司、重庆永高塑业发展有限公司、浙江公元太阳能科技有限公司、浙江公元电器有限公司、台州市黄岩精杰塑业发展有限公司和浙江金诺铜业有限公司、安徽公元科技发展有限公司、上海永高管道销售有限公司、永高(上海)国际贸易有限公司等十二家全资子公司和浙江元邦智能装备有限公司(合资公司),并于2011年12月8日在深圳证券交易所中小板成功上市,股票代码:002641。
主营业务:
    塑料管道的研发、生产和销售。
所属概念:
    太阳能,深股通,富时罗素,光伏建筑一体化","按行业:
    制造业: 95.11%
    其他(补充): 4.89%
按产品:
    PVC管材管件: 47.58%
    PE管材管件: 20.03%
    PPR管材管件: 16.71%
    其他: 15.69%
按地区:
    华东: 59.49%
    外销: 12.88%
    华南: 12.59%
    其他: 15.03%",83.51 亿,估值较低,估值中等,估值中等,估值较低,估值较低,20.85,6.76,--,--,--,2021-04-27,0.4222355220498937,64.274335375274,7.8984378508,45.3355745821,1.856040976435,33.7207905293,18.6363469707,9.4882,50.9174642001,12.9914925787,"3月内:增持
6月内:买入
1年内:买入","2020 | 预测每股收益:0.626000 预测市盈率:10.771649
2021 | 预测每股收益:0.730000 预测市盈率:9.212164
2022 | 预测每股收益:0.860000 预测市盈率:7.813472"
安宁股份,002978.SZ,铁矿石,黑色金属矿采选业、绿色矿山企业政策优势、资源综合利用优势、信息化系统优势、自愿锁定股份、股利分配、稳定股价措施,"公司简介:
    四川安宁铁钛股份有限公司是一家以先进技术对多金属伴生矿进行采选的钒钛资源综合利用循环经济企业。主要业务为铁矿石的开采、洗选、销售,主要产品为钒钛铁精矿、钛精矿。
主营业务:
    钒钛磁铁矿的开采、洗选和销售
所属概念:
    参股银行,QFII重仓,深成500,深股通,钛白粉","按行业:
    黑色金属矿采选业: 99.28%
    其他(补充): 0.72%
按产品:
    钛精矿: 52.22%
    钒钛铁精矿(61%): 47.06%
    其他(补充): 0.72%
按地区:
    钒钛铁精矿(61%)四川省): 47.06%
    钛精矿其他省份: 33.17%
    钛精矿四川省: 19.06%
    其他(补充): 0.72%",186.75 亿,估值中等,估值中等,估值中等,估值较低,估值较低,20.64,46.57,--,--,--,2021-04-29,0.508610644549709,34.934809865912,19.0232312573,15.2639862813,1.07365256603,8.3684460684,8.3312449317,71.4912,57.0809084435,36.3150895493,"3月内:增持
6月内:增持
1年内:增持","2021 | 预测每股收益:2.742500 预测市盈率:16.969862
2022 | 预测每股收益:3.097500 预测市盈率:15.037278
2023 | 预测每股收益:3.280000 预测市盈率:14.193998"
集泰股份,002909.SZ,化学制品,化学原料和化学制品制造业、技术优势、节能环保优势、客户资源和品牌优势、拟斥资3000万至6000万元回购公司股份、自愿锁定股份、集泰化工中性硅酮密封胶及水性涂料产业化基地项目、股利分配、稳定股价措施,"公司简介:
    广州集泰化工股份有限公司成立于2006年,是一家以生产化学原料和化学制品制造业为主的重点高新技术企业,产品广泛应用于建筑工程、家庭装修、集装箱制造、钢结构制造、石化装备、船舶游艇等领域。公司经营管理团队在密封胶及涂料领域深耕20余年,在多年的行业实践中积淀了丰富的产业经验和厚实的经营基础,培养了一支诚信稳健、勤奋进取的人才队伍。
    公司长期以来一直将“新技术、新产品”的研发创新作为持续经营发展的首要战略。目前,公司已拥有10项发明专利和1项实用新型专利,并先后参与起草并修订了《中空玻璃用硅酮结构密封胶》、《建筑用阻燃密封胶》、《石材用建筑密封胶》、《集装箱密封胶》、《水性丙烯酸防腐涂料》、《水性环氧防腐涂料(双组分)》、《水性聚氨酯防腐涂料(双组分)》等多个国家、地方或行业标准。公司与华南理工大学已建立起“产、学、研”长期紧密的合作,将纳米改性技术运用到传统涂料生产体系中,开发出多种应用于专业领域的工业水性涂料,具有行业领先水平。
主营业务:
    化学原料和化学制品制造业
所属概念:
    机构重仓,股权激励,新能源车,装配建筑,有机硅","按行业:
    化学原料及化学制品制造业: 100.00%
按产品:
    有机硅密封胶: 68.12%
    水性涂料: 16.65%
    电子胶: 5.93%
    其他: 9.30%
按地区:
    华东地区: 38.25%
    华南地区: 31.09%
    华北地区: 8.80%
    其他: 21.87%",26.81 亿,估值较低,估值较低,估值中等,估值较低,估值较低,20.29,10.06,--,--,--,2021-04-29,0.5629598095970745,30.832224973499,23.8826064981,47.2879377921,1.491053677932,35.1761342525,16.2037603546,35.0821,43.1753040905,8.6428370981,"3月内:
6月内:增持
1年内:买入","2021 | 预测每股收益:0.685000 预测市盈率:16.757329
2022 | 预测每股收益:0.835000 预测市盈率:13.714438
2023 | 预测每股收益:0.000000 预测市盈率:0.000000"
久立特材,002318.SZ,钢铁,"钢铁行业、积极研发新产品、新技术、新材料,加快产品转型升级、提高高端产品市场占有率,提升公司品牌美誉度、精细化管理显成效,节约成本提升效率、不锈钢管行业龙头、客户优势、装备+工艺优势、技术优势、受益相关行业发展、拟不超6亿元战略投资购买永兴特钢股票","公司简介:
    浙江久立特材科技股份有限公司作为久立集团股份有限公司的控股子公司,创建于1987年,座落在“长三角”中心太湖南岸——浙江省湖州市,是一家专业生产工业用不锈钢及特种合金管材、双金属复合管材、管件的上市公司。【股票代码:002318】。公司建有世界先进水平的不锈钢、耐蚀合金、钛合 金、高温合金无缝管(热挤压/穿孔+冷轧/冷拔)生产线和FFX成型、JCO成型等焊接管生产线,始终致力于为油气、电力、核电、LNG等能源装备及石化、化工、船舶制造等行业装备提供高性能、耐蚀、耐压、耐温的不锈钢管;不锈钢、镍基合金、碳钢、合金钢等材料法兰、管件等,管道产销量多年居国内首位。
    公司建有完善的质保体系,包括ISO9001质保体系,ISO14001环境管理体系认证、OHSAS18001职业健康安全管理体系认证,国家质量监督检验检疫总局颁发的《特种设备制造许可证》证书、国家核安全局颁发的《民用核安全机械设备制造许可证》证书、PED97/23/EC欧盟承压设备指令、美国机械工程师协会核质保体系认证(ASME Section Ⅲ NPT包含MO)、美国石油学会API 5LC/5CT/5LD认证,CCS中国船级社、 GL德国劳氏船级社、DNV挪威船级社、BV法国船级社、ABS美国船级社、LR英国劳氏船级社等主要船级社认证证书。
    公司一直认为对产品、材料的研发是核心竞争力水平提升的关键。公司是国家级高新技术企业,建立的“久立研究院”是国家认定企业技术中心、国家认可委员会CNAS认定的钢铁实验室。为油气、火电、核电、LNG等能源装备及化工、煤化工、船舶制造、造纸、机械制造、制药等行业装备提供优质可靠的产品。公司拥有各类授权专利50 多项;由公司主导起草的国家标准、行业标准达10余项。
主营业务:
    工业用不锈钢管及特种合金的管材、管件的研发、生产、销售。
所属概念:
    新材料,核能核电,长江三角,融资融券,页岩气,航母概念,深股通,富时罗素,标准普尔","按行业:
    石油、化工、天然气: 56.04%
    其他不可分行业: 18.36%
    其他机械制造: 17.11%
    电力设备制造: 8.50%
按产品:
    管道件: 59.53%
    其他(补充): 40.47%
按地区:
    境内: 62.68%
    境外: 37.32%",138.95 亿,估值较低,估值较高,估值较高,估值中等,估值中等,20.15,14.22,--,--,--,2021-04-27,0.44341158175074863,41.57235607565,9.1963148035,41.7798318468,1.816880260169,43.9128709563,18.0336193982,11.9659,42.7486154068,11.2182714849,"3月内:增持
6月内:买入
1年内:买入","2020 | 预测每股收益:0.798000 预测市盈率:19.466752
2021 | 预测每股收益:0.894000 预测市盈率:16.838788
2022 | 预测每股收益:1.012000 预测市盈率:14.864535"
电魂网络,603258.SH,互联网服务,游戏行业、精品化网络游戏产品优势、技术研发优势、运营优势、与腾讯签订游戏独家代理协议、股利分配、稳定股价措施,"公司简介:
    杭州电魂网络科技股份有限公司成立于2008年,是一家致力于研发、运营精品化网络游戏的互联网公司在产品的研发上有丰富的经验,对游戏制作有深刻认识和独特见解。电魂通过高效的游戏开发体系、精准的游戏推广方案,以竞技类网络游戏为特色产品,已发展成为集创意策划、美术设计、技术研发、产品开发、游戏推广、运营维护、海外合作于一体的游戏开发商、运营商。
    一直以来,公司秉持“铸就游戏之魂”的使命,致力于产品的自主研发,为用户打造更优秀的精品游戏。一直以来,公司秉持“铸就游戏之魂”的使命,致力于产品的自主研发,为用户打造更优秀的精品游戏。公司于2016年10月26日正式A股上市,注册用户达一亿七千万人,曾被授予中国十大游戏研发商、浙江省著名商标、杭州市企业高新技术研发中心等多项荣誉称号。
    目前,公司在端游、手游、VR、漫画等领域覆盖多款产品,知名游戏包括:梦三国、梦塔防、攻战魏蜀吴、光影对决、瞳、净界之涤等数十款产品,并在中国大陆、香港、台湾、泰国、马来西亚、新加坡、越南、韩国、菲律宾、印度尼西亚、澳大利亚、北美、中东等地形成布局,迈向国际化发展舞台。
主营业务:
    网络游戏产品的研发、制作和运营
所属概念:
    创投,网络游戏,预盈预增,手游概念,上证380,沪股通,电子竞技,富时罗素","按行业:
    网络游戏: 99.48%
    其他(补充): 0.52%
按产品:
    移动端游戏: 50.02%
    客户端游戏: 49.46%
    其他(补充): 0.52%
按地区:
    境内收入: 89.44%
    境外收入: 10.05%
    其他(补充): 0.52%",67.45 亿,估值较低,估值较低,估值较低,估值较低,估值较低,19.07,27.2,--,--,--,2021-04-30,0.5150884776985292,73.08350587774,46.9609248205,25.1081588592,0.588235294118,33.8880871994,27.052090571,14.5098,44.1527301088,59.4076560781,"3月内:增持
6月内:增持
1年内:增持","2021 | 预测每股收益:2.320000 预测市盈率:11.851101
2022 | 预测每股收益:2.831667 预测市盈率:9.715131
2023 | 预测每股收益:3.160000 预测市盈率:8.614827"
拓邦股份,002139.SZ,电子设备制造,仪器仪表行业、电机业务、技术优势、首次回购公司股份102万股,"公司简介:
    深圳拓邦股份有限公司1996年成立于有中国科技“硅谷”之称的深圳高新技术产业园内。经过十几年的高速发展,拓邦现已发展成为以中国领先的智能控制技术为核心,不断拓展其应用领域的中国一流智能控制方案提供商。公司的智能控制器、直流无刷电机、空心杯电机及驱动器、动力锂电池、储能锂电池等产品广泛应用于家庭、工业、医疗等领域,销售遍及全球几十个国家。
    公司的智能控制器产品涵盖家用电器、医疗器械、工业控制、电动工具、家居护理、冰洗卫浴、驱动电源等相关智能控制产品。拓邦集研发、生产和销售于一身,拥有强大的研发团队和专业的自动化生产线,以及完善的售后服务体系;提供优质智能控制解决方案和产品的同时,可提供JDM/ODM/EMS服务。
    公司已获得CNAS实验室认证,同时已通过TS16949:2009/ISO9001:2008质量管理体系、ISO14001:2004环境管理体系、OHSAS18001:2007职业健康安全管理体系认证;推广6SIGEMA、FMEA等国际先进的管理理念;已具备RoHS符合性的检测能力和完备的RoHS保障能力。2007年,拓邦股份在深圳证券交易所成功上市(股票代码002139),作为一家充满社会责任感的公众上市公司,拓邦始终是企业与消费者的忠实伙伴。
主营业务:
    各类电子智能控制产品的设计、开发、加工、制造和销售,主要为家电、汽车、电池等行业提供配套所需的各种电子智能控制产品。
所属概念:
    创投,QFII重仓,深圳特区,物联网,预盈预增,锂电池,太阳能,新三板,智能机器,国家安防,智能家居,阿里概念,人工智能,新能源车,无线充电,深股通,华为概念,无线耳机","按行业:
    智能控制电子行业: 100.00%
按产品:
    家电: 44.03%
    工具: 34.31%
    锂电: 14.22%
    其他: 7.43%
按地区:
    国外: 55.12%
    国内: 44.88%",155.30 亿,估值中等,估值中等,估值中等,估值中等,估值中等,19.04,13.55,--,--,--,2021-04-27,0.5169712962552995,61.267402388998,35.6520902004,47.8805664703,0.369003690037,36.4466724226,27.500756711,25.7083,30.2404211393,29.8397749361,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:0.607273 预测市盈率:22.350468
2022 | 预测每股收益:0.769091 预测市盈率:17.696395
2023 | 预测每股收益:0.957500 预测市盈率:14.208426"
七一二,603712.SH,通信设备,计算机、通信和其他电子设备制造业、人力资源优势、行业引领作用与研发创新优势、完备的行业资质、中标2.12亿元轨道交通通信系统设备采购项目、津智资本并购公司控股股东中环集团51%股权、自愿锁定股份、实验测试中心建设项目、新型无线通信系统与终端研发及产业化项目、通信设备与系统生产线升级改造项目、股利分配、稳定股价措施,"公司简介:
    天津七一二通信广播股份有限公司是我国军、民用专网无线通信产品和整体解决方案的核心供应商,是具有八十多年历史的大型电子骨干企业。公司拥有国家级技术中心和国家级工业设计中心,是国家高新技术企业和国家技术创新示范企业。公司主营业务包括军用无线通信、民用无线通信及环保监测三大领域。
主营业务:
    军用无线通信、民用无线通信及环保监测
所属概念:
    军工,机构重仓,预盈预增,融资融券,北斗导航,中证500,无人机,上证380,沪股通,军民融合,MSCI中国,富时罗素,标准普尔","按行业:
    专用无线通信行业: 94.89%
    其他行业: 3.63%
    其他(补充): 1.48%
按产品:
    专用无线通信终端产品: 54.50%
    系统产品: 40.38%
    其他产品: 3.63%
    其他(补充): 1.48%
按地区:
    国内: 98.50%
    其他(补充): 1.48%
    国外: 0.02%",266.19 亿,估值较低,估值中等,估值中等,估值较低,估值较低,18.9,34.48,--,--,--,2021-04-30,0.5844267800528261,51.4794808672,25.9473150688,56.3025501711,0.290023201856,39.1286880768,21.987544631,93.4165,37.0281400508,35.3995371302,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:0.929286 预测市盈率:37.136711
2022 | 预测每股收益:1.238571 预测市盈率:27.808942
2023 | 预测每股收益:1.738750 预测市盈率:19.830910"
景津环保,603279.SH,专用设备,通用设备制造业、客户资源优势、技术研发优势、加工工艺、自愿锁定股份、股利分配、稳定股价措施,"公司简介:
    景津环保股份有限公司创立于1988年,位于素有“九达天衢、神京门户”之称的国家园林城市——山东德州,是一家集过滤成套装备制造、过滤技术整体方案解决、环保工程总承包及运营于一体的综合环保服务商,中国环保产业协会副会长单位,压滤机国家标准主起草人,产品远销123个国家和地区。取得了马德里国际商标注册保护。董事长姜桂廷获得“全国五一劳动奖章”、“中国十大杰出企业家”等荣誉。
    景津自主研发的过滤成套装备包括压滤机、振动离心机、搅拌机、输送机、自动加药机、双驱浓密机、刮泥机、滤饼破碎机等,广泛应用于环保、化工、食品、制药、冶金、选煤、尾矿等固液分离领域。新研制的“太阳能污泥一体干燥系统”,能将污泥含水率干化至20%,以节能、环保、低碳的方式实现污泥的高效资源化利用。景津技术研发实力雄厚,建有技术中心及固液分离实验室,先后承担国家重点新产品计划、国家火炬计划、国家水体污染控制与治理科技重大专项等科研项目,取得授权有效专利128项,其中国际PCT专利8项,近三年推出新产品166项。
主营业务:
    主要从事各式压滤机整机及配套设备、配件的生产和销售,致力于为固液提纯、分离提供专业的成套解决方案
所属概念:
    节能环保,上证380,沪股通","按行业:
    通用设备制造业: 99.77%
    其他(补充): 0.23%
按产品:
    压滤机整机: 81.13%
    配件: 16.12%
    其他设备: 2.51%
    其他(补充): 0.23%
按地区:
    国内销售: 95.21%
    国外销售: 4.56%
    其他(补充): 0.23%",102.82 亿,估值较低,估值较高,估值较高,估值中等,估值中等,18.22,24.96,--,--,--,2021-04-29,0.4396946161989687,24.597261293226,0.5567681009,43.3639069228,2.804487179487,35.7024980053,14.6266095999,47.9104,17.9784054414,18.482337618,"3月内:买入
6月内:买入
1年内:买入","2021 | 预测每股收益:1.474286 预测市盈率:16.933494
2022 | 预测每股收益:1.798571 预测市盈率:13.873679
2023 | 预测每股收益:2.135000 预测市盈率:11.711691"
宝新能源,000690.SZ,电力,新能源电力、核心竞争力、新能源--资源综合利用发电、重点筹划项目、节能环保概念、梅州建筑行业龙头、实际控制人--叶华能、与中广核风电签署海上风电联合开发合作意向书、携手中广核风电开发汕尾海上风电场、汕尾后湖海上风电场项目获核准,"公司简介:
    广东宝丽华新能源股份有限公司1997年在深圳证券交易所上市(证券简称:宝新能源000690),以“新能源电力+新金融控股”为双核心业务。旗下有7家全资子公司:广东宝丽华电力有限公司——梅县荷树园电厂、广东陆丰宝丽华新能源电力有限公司——陆丰甲湖湾电厂、陆丰宝丽华风能开发有限公司、广东宝新资产管理有限公司、宝新融资租赁有限公司、广东信用宝征信管理有限公司、广东宝丽华建设工程有限公司。全面建成:梅县荷树园电厂总装机容量147万千瓦,电厂30万千瓦煤矸石CFB发电机组及资源循环利用工程项目获得“广东省科学技术特等奖”、“南方低碳标杆企业”、“2009年度亚洲电力奖——最佳环保电厂奖”称号。在中国资本市场一直以绩优、成长、蓝筹的良好形象,广受市场认同。先后入选上证300、深证100等多个重要指数样本股,连年名列“中国上市公司综合绩效百强榜”、“上市公司整体价值百强排行榜”、“最佳成长上市公司50强”、“中国新能源行业最具影响力品牌”,多次获得“广东十大和谐企业”、“广东省模范集体”、“广东省先进集体”、“中国上市公司董事会金圆桌奖——十佳董事会”、“中国上市公司董事会金圆桌奖——董事会建设特别贡献奖”等荣誉称号。
主营业务:
    新能源发电,金融投资
所属概念:
    新能源,创投,参股券商,深成500,预盈预增,风能,融资融券,海洋经济,中证500,证金持股,深股通,富时罗素,标准普尔","按行业:
    电力: 99.60%
    发电副产品: 0.40%
    融资租赁: 0.00%
按产品:
    电力: 99.60%
    发电副产品: 0.40%
    融资租赁: 0.00%
按地区:
    广东省: 100.00%
    山西省: 0.00%",127.72 亿,估值较低,估值较低,估值较低,估值较低,估值较低,17.89,5.87,--,--,--,2021-04-30,0.4151432423516844,105.830022804477,27.2418181416,43.5296575461,5.11073253833,160.2443000112,41.7291164378,15.3137,2.7030596608,2.2672514182,"3月内:
6月内:买入
1年内:买入","2021 | 预测每股收益:0.860000 预测市盈率:6.841169
2022 | 预测每股收益:0.900000 预测市盈率:6.539919
2023 | 预测每股收益:0.000000 预测市盈率:0.000000"
